strain	suffix	role	url
CS	Liu	focal	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/772/135/GCA_048772135.1_ASM4877213v1/GCA_048772135.1_ASM4877213v1_genomic.fna.gz
iso-1	R6	reference	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz
CS	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/735/GCA_003401735.1_ASM340173v1/GCA_003401735.1_ASM340173v1_genomic.fna.gz
CS	Wierz	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/832/445/GCA_015832445.1_ASM1583244v1/GCA_015832445.1_ASM1583244v1_genomic.fna.gz
CS	DLPD	panel	https://drive.usercontent.google.com/download?id=1gW_EnlO1honJiy2WiJ91yagA37lViTrv&export=download&confirm=t
A2	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/805/GCA_003401805.1_ASM340180v1/GCA_003401805.1_ASM340180v1_genomic.fna.gz
A3	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/795/GCA_003401795.1_ASM340179v1/GCA_003401795.1_ASM340179v1_genomic.fna.gz
A3	Shukla	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/606/455/GCA_042606455.1_ASM4260645v1/GCA_042606455.1_ASM4260645v1_genomic.fna.gz
A4	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/745/GCA_003401745.1_ASM340174v1/GCA_003401745.1_ASM340174v1_genomic.fna.gz
A4	Shukla	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/606/465/GCA_042606465.1_ASM4260646v1/GCA_042606465.1_ASM4260646v1_genomic.fna.gz
A5	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/855/GCA_003401855.1_ASM340185v1/GCA_003401855.1_ASM340185v1_genomic.fna.gz
A6	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/885/GCA_003401885.1_ASM340188v1/GCA_003401885.1_ASM340188v1_genomic.fna.gz
A7	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/915/GCA_003401915.1_ASM340191v1/GCA_003401915.1_ASM340191v1_genomic.fna.gz
AB8	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/685/GCA_003401685.1_ASM340168v1/GCA_003401685.1_ASM340168v1_genomic.fna.gz
B1	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/925/GCA_003401925.1_ASM340192v1/GCA_003401925.1_ASM340192v1_genomic.fna.gz
B2	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/975/GCA_003401975.1_ASM340197v1/GCA_003401975.1_ASM340197v1_genomic.fna.gz
B3	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/402/055/GCA_003402055.1_ASM340205v1/GCA_003402055.1_ASM340205v1_genomic.fna.gz
B4	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/402/005/GCA_003402005.1_ASM340200v1/GCA_003402005.1_ASM340200v1_genomic.fna.gz
B6	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/397/115/GCA_003397115.2_ASM339711v2/GCA_003397115.2_ASM339711v2_genomic.fna.gz
ORE	DSPR	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/402/015/GCA_003402015.1_ASM340201v1/GCA_003402015.1_ASM340201v1_genomic.fna.gz
iso-1	Shukla	panel	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/606/445/GCA_042606445.1_ASM4260644v1/GCA_042606445.1_ASM4260644v1_genomic.fna.gz
